x,pi2,E2,Delta2,M,psi_minus_x
1890,58.0,69.5301,-11.5301,-7.0,5.9387
1900,58.0,69.7620,-11.7620,-3.0,-4.0613
1911,58.0,70.0166,-12.0166,-5.0,0.0421
1922,58.0,70.2708,-12.2708,-3.0,-3.4014
1933,59.0,70.5247,-11.5247,-3.0,0.7312
1944,59.0,70.7781,-11.7781,4.0,-10.2688
1955,60.0,71.0312,-11.0312,1.0,-6.1177
1966,60.0,71.2839,-11.2839,4.0,-17.1177
1977,60.0,71.5363,-11.5363,6.0,-20.5303
1989,60.0,71.8111,-11.8111,6.0,-17.3456
2000,61.0,72.0627,-11.0627,5.0,-5.5484
2011,61.0,72.3139,-11.3139,4.0,-1.3396
2023,61.0,72.5875,-11.5875,2.0,-5.7303
2034,62.0,72.8380,-10.8380,4.0,-1.5007
2046,62.0,73.1108,-11.1108,6.0,-5.8804
2058,62.0,73.3832,-11.3832,6.0,-9.5602
2069,62.0,73.6325,-11.6325,5.0,-5.2935
2081,63.0,73.9041,-10.9041,7.0,-9.6529
2093,64.0,74.1753,-10.1753,0.0,1.2766
2105,64.0,74.4461,-10.4461,4.0,-3.0742
2117,65.0,74.7165,-9.7165,0.0,0.2366
2129,66.0,74.9865,-8.9865,2.0,-4.1000
2141,67.0,75.2561,-8.2561,-2.0,6.9005
2153,67.0,75.5253,-8.5253,-2.0,10.2451
2166,67.0,75.8164,-8.8164,-3.0,4.9234
2178,67.0,76.0848,-9.0848,3.0,-7.0766
2190,67.0,76.3528,-9.3528,7.0,-10.2913
2203,67.0,76.6427,-9.6427,8.0,-13.0288
2215,67.0,76.9099,-9.9099,8.0,-5.7772
2228,67.0,77.1990,-10.1990,11.0,-11.0714
2241,68.0,77.4876,-9.4876,8.0,-8.6448
2254,68.0,77.7758,-9.7758,8.0,-6.2101
2266,68.0,78.0414,-10.0414,8.0,-18.2101
2279,69.0,78.3288,-9.3288,4.0,-8.0279
2292,69.0,78.6157,-9.6157,2.0,-5.5605
2305,69.0,78.9022,-9.9022,-1.0,-3.0836
2319,70.0,79.2103,-9.2103,-1.0,-1.5936
2332,70.0,79.4959,-9.4959,3.0,-14.5936
2345,71.0,79.7812,-8.7812,-3.0,-4.3228
2358,71.0,80.0660,-9.0660,-6.0,5.9658
2372,71.0,80.3723,-9.3723,-2.0,-0.2631
2385,72.0,80.6563,-8.6563,-8.0,10.0618
2399,72.0,80.9617,-8.9617,-12.0,19.4036
2413,72.0,81.2666,-9.2666,-14.0,15.1373
2426,72.0,81.5494,-9.5494,-14.0,17.7203
2440,72.0,81.8534,-9.8534,-12.0,11.5189
2454,72.0,82.1570,-10.1570,-12.0,13.1216
2468,72.0,82.4602,-10.4602,-10.0,14.7399
2482,72.0,82.7630,-10.7630,-6.0,16.3679
2496,72.0,83.0652,-11.0652,-3.0,2.3679
2510,72.0,83.3671,-11.3671,-2.0,-3.8069
2525,72.0,83.6901,-11.6901,0.0,-10.9744
2539,72.0,83.9910,-11.9910,-1.0,-9.2985
2554,73.0,84.3130,-11.3130,-5.0,-0.7698
2568,73.0,84.6132,-11.6132,0.0,-6.9232
2583,73.0,84.9342,-11.9342,5.0,-14.0680
2598,74.0,85.2548,-11.2548,3.0,-13.3476
2612,74.0,85.5536,-11.5536,7.0,-19.4809
2627,74.0,85.8733,-11.8733,9.0,-18.7398
2642,74.0,86.1926,-12.1926,9.0,-25.8639
2657,75.0,86.5114,-11.5114,12.0,-25.0978
2672,75.0,86.8297,-11.8297,8.0,-16.4347
2688,76.0,87.1687,-11.1687,1.0,-8.7514
2703,76.0,87.4861,-11.4861,-7.0,-0.0554
2718,77.0,87.8030,-10.8030,-12.0,8.6591
2734,78.0,88.1406,-10.1406,-12.0,16.3912
2749,78.0,88.4567,-10.4567,-13.0,17.2263
2765,78.0,88.7933,-10.7933,-14.0,9.1467
2781,78.0,89.1294,-11.1294,-18.0,9.0014
2797,79.0,89.4651,-10.4651,-23.0,16.8053
2813,80.0,89.8002,-9.8002,-23.0,20.6518
2829,80.0,90.1349,-10.1349,-22.0,12.5959
2845,80.0,90.4691,-10.4691,-22.0,20.4481
2861,80.0,90.8028,-10.8028,-22.0,28.3200
2877,80.0,91.1361,-11.1361,-20.0,12.3200
2894,80.0,91.4897,-11.4897,-17.0,11.2532
2910,80.0,91.8220,-11.8220,-17.0,19.1736
2927,80.0,92.1746,-12.1746,-17.0,18.1337
2943,80.0,92.5059,-12.5059,-15.0,10.1195
2960,80.0,92.8575,-12.8575,-16.0,9.1020
2977,81.0,93.2086,-12.2086,-14.0,16.0886
2994,81.0,93.5592,-12.5592,-7.0,-0.9114
3011,82.0,93.9092,-11.9092,-6.0,6.1114
3028,82.0,94.2588,-12.2588,-8.0,5.1381
3045,82.0,94.6079,-12.6079,-4.0,4.1766
3063,82.0,94.9770,-12.9770,-4.0,2.2257
3080,82.0,95.3251,-13.3251,-3.0,1.2865
3098,82.0,95.6932,-13.6932,2.0,-0.6442
3115,82.0,96.0403,-14.0403,5.0,-9.6022
3133,83.0,96.4073,-13.4073,4.0,-9.9016
3151,83.0,96.7739,-13.7739,9.0,-19.8505
3169,84.0,97.1398,-13.1398,9.0,-13.6695
3187,84.0,97.5053,-13.5053,5.0,-15.5378
3205,84.0,97.8703,-13.8703,11.0,-17.3978
3224,84.0,98.2550,-14.2550,12.0,-12.1705
3242,84.0,98.6189,-14.6189,19.0,-22.0905
3260,86.0,98.9823,-12.9823,15.0,-7.7387
3279,86.0,99.3654,-13.3654,20.0,-18.6459
3298,86.0,99.7479,-13.7479,21.0,-37.6459
3316,87.0,100.1098,-13.1098,19.0,-23.2331
3335,88.0,100.4912,-12.4912,17.0,-9.7956
3354,88.0,100.8722,-12.8722,19.0,-12.5652
3373,90.0,101.2526,-11.2526,12.0,0.9207
3393,91.0,101.6524,-10.6524,14.0,-2.8221
3412,91.0,102.0318,-11.0318,16.0,-13.6885
3431,91.0,102.4106,-11.4106,16.0,-24.5532
3451,91.0,102.8088,-11.8088,14.0,-28.2661
3471,93.0,103.2064,-10.2064,10.0,-7.5161
3490,93.0,103.5836,-10.5836,11.0,-22.4386
3510,93.0,103.9801,-10.9801,13.0,-26.1204
3530,94.0,104.3761,-10.3761,8.0,-13.4544
3550,95.0,104.7715,-9.7715,5.0,-0.7669
3571,96.0,105.1861,-9.1861,2.0,2.7676
3591,97.0,105.5804,-8.5804,2.0,-0.8650
3611,97.0,105.9742,-8.9742,1.0,-4.4876
3632,97.0,106.3871,-9.3871,-5.0,7.2904
3653,97.0,106.7994,-9.7994,-3.0,2.6898
3674,98.0,107.2112,-9.2112,-5.0,6.3118
3694,98.0,107.6028,-9.6028,-7.0,2.7353
3716,98.0,108.0329,-10.0329,-6.0,5.3854
3737,98.0,108.4430,-10.4430,-10.0,13.1658
3758,98.0,108.8524,-10.8524,-4.0,0.3924
3779,99.0,109.2613,-10.2613,-6.0,12.3307
3801,99.0,109.6891,-10.6891,-8.0,6.8135
3823,100.0,110.1163,-10.1163,-9.0,9.5542
3844,100.0,110.5236,-10.5236,-7.0,-3.1944
3866,101.0,110.9496,-9.9496,-10.0,7.8325
3888,101.0,111.3750,-10.3750,-11.0,2.3592
3910,101.0,111.7999,-10.7999,-6.0,-3.1044
3933,103.0,112.2435,-9.2435,-14.0,23.5412
3955,103.0,112.6672,-9.6672,-16.0,18.1016
3978,103.0,113.1095,-10.1095,-13.0,3.3874
4000,103.0,113.5320,-10.5320,-9.0,-10.3213
4023,105.0,113.9732,-8.9732,-15.0,16.4590
4046,105.0,114.4137,-9.4137,-11.0,1.7597
4069,106.0,114.8536,-8.8536,-13.0,3.6809
4092,107.0,115.2930,-8.2930,-17.0,5.6232
4116,107.0,115.7508,-8.7508,-15.0,7.2733
4139,108.0,116.1889,-8.1889,-14.0,17.5793
4163,109.0,116.6454,-7.6454,-17.0,18.5765
4186,109.0,117.0824,-8.0824,-10.0,3.9138
4210,109.0,117.5377,-8.5377,-11.0,-11.7431
4234,111.0,117.9924,-6.9924,-13.0,5.9965
4258,112.0,118.4464,-6.4464,-17.0,7.0575
4283,114.0,118.9188,-4.9188,-13.0,23.8536
4307,114.0,119.3716,-5.3716,-9.0,16.5831
4332,114.0,119.8427,-5.8427,-6.0,-0.0443
4356,115.0,120.2943,-5.2943,-10.0,1.0838
4381,115.0,120.7641,-5.7641,-9.0,1.2274
4406,115.0,121.2332,-6.2332,-9.0,-6.9966
4431,116.0,121.7018,-5.7018,-6.0,-6.8165
4456,116.0,122.1697,-6.1697,-8.0,-6.6170
4482,117.0,122.6556,-5.6556,-5.0,-7.4036
4507,117.0,123.1222,-6.1222,-6.0,-2.9672
4533,118.0,123.6069,-5.6069,-5.0,4.6961
4559,119.0,124.0908,-5.0908,-3.0,-4.4590
4585,119.0,124.5742,-5.5742,-3.0,-5.1770
4611,119.0,125.0568,-6.0568,-1.0,-5.8775
4637,120.0,125.5389,-5.5389,0.0,-14.9973
4664,121.0,126.0387,-5.0387,-6.0,8.6708
4690,121.0,126.5195,-5.5195,-1.0,-0.4288
4717,121.0,127.0180,-6.0180,4.0,-10.5194
4744,122.0,127.5159,-5.5159,2.0,-3.6756
4771,122.0,128.0131,-6.0131,9.0,-13.7417
4798,123.0,128.5096,-5.5096,10.0,-6.8463
4825,124.0,129.0055,-5.0055,9.0,0.0655
4853,124.0,129.5191,-5.5191,18.0,-19.4517
4881,124.0,130.0319,-6.0319,18.0,-21.9794
4908,124.0,130.5258,-6.5258,19.0,-31.9870
4936,125.0,131.0373,-6.0373,16.0,-23.1471
4964,125.0,131.5482,-6.5482,10.0,-17.1210
4993,126.0,132.0765,-6.0765,3.0,-3.5573
5021,128.0,132.5860,-4.5860,-1.0,11.0373
5050,128.0,133.1129,-5.1129,-4.0,3.3467
5079,128.0,133.6391,-5.6391,-3.0,-0.0646
5108,129.0,134.1647,-5.1647,0.0,13.6155
5137,129.0,134.6895,-5.6895,-1.0,1.6957
5166,129.0,135.2136,-6.2136,-2.0,-10.2108
5195,129.0,135.7371,-6.7371,1.0,-5.0032
5225,129.0,136.2779,-7.2779,1.0,-17.8892
5255,130.0,136.8179,-6.8179,0.0,-13.6390
5285,131.0,137.3573,-6.3573,0.0,-9.3573
5315,131.0,137.8959,-6.8959,-2.0,-13.6292
5345,131.0,138.4338,-7.4338,3.0,-22.1773
